Aname,A_age,A_sex
"Ajay Devgan",49,M
"Anne Hathaway",36,F
"Ben Affleck",46,M
"Brad Pitt",54,M
"Carey Loftin",83,F
"Carrie-Anne Moss",51,F
"Chris Pratt",39,M
"Christian Bale",44,M
"Daniel Craig",50,M
"Dennis Weaver",81,M
"Edward Norton",49,M
"Elizabeth Banks",44,F
"Ellen Page",31,F
"Guy Pearce",51,M
"Harry Styles",24,M
"Heath Ledger",28,M
"Hugh Jackman",50,M
"Jeff Goldblum",66,M
Kajol,44,F
"Kevin Bacon",60,M
"Leonardo Dicaprio",44,M
"Matthew McConaughey",49,M
"Michael Caine",85,M
"Michael Rooker",63,M
"Morgan Freeman",81,M
"Paresh Rawal",63,M
"Prakash Raj",53,M
"Robert Shaw",51,M
"Rooney Mara",33,F
"Rosamund Pike",39,F
"Roy Scheider",75,M
"Samuel L. Jackson",69,M
"Shahrukh Khan",53,M
"Simon Pegg",48,M
"T.J. Miller",37,M
"Tom Hardy ",41,M
"Zoe Saldana",40,F
